,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
38513,3356,KABE,medium_airport,Lehigh Valley International Airport,40.651773,-75.442797,393.0,,US,US-PA,Allentown/Bethlehem,yes,KABE,ABE,KABE,ABE,https://flyabe.com,https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,Allentown–Bethlehem–Easton International Airport
38514,3357,KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.6819000244,1791.0,,US,US-TX,Abilene,yes,KABI,ABI,KABI,ABI,,https://en.wikipedia.org/wiki/Abilene_Regional_Airport,
38515,16091,KABQ,large_airport,Albuquerque International Sunport,35.039976,-106.608925,5355.0,,US,US-NM,Albuquerque,yes,KABQ,ABQ,KABQ,ABQ,http://www.abqsunport.com/,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport,
38516,3358,KABR,medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605467,1302.0,,US,US-SD,Aberdeen,yes,KABR,ABR,KABR,ABR,,https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,
38517,3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.532946,-84.196215,197.0,,US,US-GA,Albany,yes,KABY,ABY,KABY,ABY,,https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,
38520,3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47.0,,US,US-MA,Nantucket,yes,KACK,ACK,KACK,ACK,,https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport,
38523,3361,KACT,medium_airport,Waco Regional Airport,31.611299514770508,-97.23049926757812,516.0,,US,US-TX,Waco,yes,KACT,ACT,KACT,ACT,,https://en.wikipedia.org/wiki/Waco_Regional_Airport,
38524,3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221.0,,US,US-CA,Arcata/Eureka,yes,KACV,ACV,KACV,ACV,https://flyacv.com,https://en.wikipedia.org/wiki/Arcata-Eureka_Airport,"Arcata Airport, Arcata–Eureka Airport"
38525,3363,KACY,medium_airport,Atlantic City International Airport,39.456201,-74.577511,75.0,,US,US-NJ,Atlantic City,yes,KACY,ACY,KACY,ACY,https://acairport.com,https://en.wikipedia.org/wiki/Atlantic_City_International_Airport,
38539,3365,KAEX,medium_airport,Alexandria International Airport,31.325828,-92.546702,89.0,,US,US-LA,Alexandria,yes,KAEX,AEX,KAEX,AEX,https://www.alexandria-louisiana.com/alexandria-international-airport.htm,https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana),"England Air Park, England Air Force Base"
38551,3368,KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144.0,,US,US-GA,Augusta,yes,KAGS,AGS,KAGS,AGS,,https://en.wikipedia.org/wiki/Augusta_Regional_Airport,
38575,3371,KALB,large_airport,Albany International Airport,42.748299,-73.801697,285.0,,US,US-NY,Albany,yes,KALB,ALB,KALB,ALB,http://www.albanyairport.com/,https://en.wikipedia.org/wiki/Albany_International_Airport,
38579,3375,KALO,medium_airport,Waterloo Regional Airport,42.557098388671875,-92.40029907226562,873.0,,US,US-IA,Waterloo,yes,KALO,ALO,KALO,ALO,,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport,
